pmid	pmc_id	title
38002464	10669484	GLP-1 Receptor Agonists and Related Mental Health Issues; Insights from a Range of Social Media Platforms Using a Mixed-Methods Approach.
36720576	9890830	Effect of the GLP-1 receptor agonist semaglutide on metabolic disturbances in clozapine-treated or olanzapine-treated patients with a schizophrenia spectrum disorder: study protocol of a placebo-controlled, randomised clinical trial (SemaPsychiatry).
38218536	10832506	Antibody blockade of activin type II receptors preserves skeletal muscle mass and enhances fat loss during GLP-1 receptor agonism.
38201893	10780932	Sarcopenia and Diabetes: A Detrimental Liaison of Advancing Age.
34131405	8193264	GLP-1 receptor agonists (GLP-1RAs): cardiovascular actions and therapeutic potential.
37602204	10439806	GLP-1RA Liraglutide and Semaglutide Improves Obesity-Induced Muscle Atrophy via SIRT1 Pathway.
38218536	10832506	Antibody blockade of activin type II receptors preserves skeletal muscle mass and enhances fat loss during GLP-1 receptor agonism.
39295512	11611443	Strategies for minimizing muscle loss during use of incretin-mimetic drugs for treatment of obesity.
38201893	10780932	Sarcopenia and Diabetes: A Detrimental Liaison of Advancing Age.
34131405	8193264	GLP-1 receptor agonists (GLP-1RAs): cardiovascular actions and therapeutic potential.
37602204	10439806	GLP-1RA Liraglutide and Semaglutide Improves Obesity-Induced Muscle Atrophy via SIRT1 Pathway.
39295512	11611443	Strategies for minimizing muscle loss during use of incretin-mimetic drugs for treatment of obesity.
38201893	10780932	Sarcopenia and Diabetes: A Detrimental Liaison of Advancing Age.
34131405	8193264	GLP-1 receptor agonists (GLP-1RAs): cardiovascular actions and therapeutic potential.
37602204	10439806	GLP-1RA Liraglutide and Semaglutide Improves Obesity-Induced Muscle Atrophy via SIRT1 Pathway.
31020810	6711418	Amelioration of muscle wasting by glucagon-like peptide-1 receptor agonist in muscle atrophy.
36672642	9856128	Insights into Pathogenesis, Nutritional and Drug Approach in Sarcopenia: A Systematic Review.
38218536	10832506	Antibody blockade of activin type II receptors preserves skeletal muscle mass and enhances fat loss during GLP-1 receptor agonism.
38201893	10780932	Sarcopenia and Diabetes: A Detrimental Liaison of Advancing Age.
34131405	8193264	GLP-1 receptor agonists (GLP-1RAs): cardiovascular actions and therapeutic potential.
37602204	10439806	GLP-1RA Liraglutide and Semaglutide Improves Obesity-Induced Muscle Atrophy via SIRT1 Pathway.
39295512	11611443	Strategies for minimizing muscle loss during use of incretin-mimetic drugs for treatment of obesity.
34305810	8294388	Safety of Semaglutide.
34425083	12001795	Cardiovascular, mortality, and kidney outcomes with GLP-1 receptor agonists in patients with type 2 diabetes: a systematic review and meta-analysis of randomised trials.
27633186	12003568	Semaglutide and Cardiovascular Outcomes in Patients with Type 2 Diabetes.
